Id,Gender,Customer Type,Type of Travel,Class,Age,Female,Loyal Customer,Business Travel,Eco Class,Business Class,Flight Distance,Wifi Service,Departure/Arrival,Online Booking,Gate Location,Food and Drink,Online Boarding,Seat Comfort,Inflight Entertainment,On-board Service,Leg Room,Baggage,Checkin Service,Inflight Service,Cleanliness,Departure Delay,Arrival Delay,Satisfied,Satisfaction
19556,Female,Loyal Customer,Business travel,Eco,52,1,1,1,1,0,160,5,4,3,4,3,4,3,5,5,5,5,2,5,5,50,44,1,satisfied
90035,Female,Loyal Customer,Business travel,Business,36,1,1,1,0,1,2863,1,1,3,1,5,4,5,4,4,4,4,3,4,5,0,0,1,satisfied
12360,Male,disloyal Customer,Business travel,Eco,20,0,0,1,1,0,192,2,1,2,4,2,2,2,2,4,1,3,2,2,2,0,0,0,dissatisfied
77959,Male,Loyal Customer,Business travel,Business,44,0,1,1,0,1,3377,1,1,1,2,3,4,4,1,1,1,1,3,1,4,0,6,1,satisfied
36875,Female,Loyal Customer,Business travel,Eco,49,1,1,1,1,0,1182,2,3,4,3,4,1,2,2,2,2,2,4,2,4,0,20,1,satisfied
39177,Male,Loyal Customer,Business travel,Eco,16,0,1,1,1,0,311,3,3,3,3,5,5,3,5,4,3,1,1,2,5,0,0,1,satisfied
79433,Female,Loyal Customer,Business travel,Business,77,1,1,1,0,1,3987,5,5,5,5,3,5,5,5,5,5,5,4,5,3,0,0,1,satisfied
97286,Female,Loyal Customer,Business travel,Business,43,1,1,1,0,1,2556,2,2,2,2,4,4,5,4,4,4,4,5,4,3,77,65,1,satisfied
27508,Male,Loyal Customer,Business travel,Eco,47,0,1,1,1,0,556,5,2,2,2,5,5,5,5,2,2,5,3,3,5,1,0,1,satisfied
62482,Female,Loyal Customer,Business travel,Business,46,1,1,1,0,1,1744,2,2,2,2,3,4,4,4,4,4,4,5,4,4,28,14,1,satisfied
47583,Female,Loyal Customer,Business travel,Eco,47,1,1,1,1,0,1235,4,1,1,1,5,1,5,3,3,4,3,1,3,4,29,19,1,satisfied
115550,Female,Loyal Customer,Business travel,Business,33,1,1,1,0,1,325,2,5,5,5,1,3,4,2,2,2,2,3,2,4,18,7,0,dissatisfied
119987,Female,Loyal Customer,Business travel,Business,46,1,1,1,0,1,1009,5,5,5,5,4,5,5,5,5,5,5,5,5,3,0,0,1,satisfied
42141,Female,Loyal Customer,Business travel,Business,60,1,1,1,0,1,451,1,1,4,1,5,5,4,5,5,5,5,3,5,5,117,113,1,satisfied
2274,Female,Loyal Customer,Business travel,Business,52,1,1,1,0,1,925,2,2,2,2,5,5,4,4,4,4,4,3,4,5,10,0,1,satisfied
22470,Male,Loyal Customer,Personal Travel,Eco,50,0,1,0,1,0,83,3,4,1,3,2,1,2,2,4,2,4,4,5,2,5,2,0,dissatisfied
124915,Female,Loyal Customer,Business travel,Eco,31,1,1,1,1,0,728,2,5,5,5,2,2,2,2,4,3,3,4,3,2,2,0,0,dissatisfied
17836,Male,Loyal Customer,Personal Travel,Eco Plus,52,0,1,0,0,0,1075,5,4,5,3,4,5,4,4,3,5,5,4,5,4,0,0,1,satisfied
76872,Female,Loyal Customer,Personal Travel,Eco,43,1,1,0,1,0,1927,3,4,3,1,4,4,5,5,5,3,5,4,5,3,0,0,0,dissatisfied
64287,Female,Loyal Customer,Business travel,Business,50,1,1,1,0,1,3799,5,5,5,5,4,5,4,4,4,5,4,5,4,5,8,0,1,satisfied
63995,Male,Loyal Customer,Business travel,Business,60,0,1,1,0,1,612,4,4,4,4,2,4,5,5,5,5,5,5,5,5,21,49,1,satisfied
75855,Male,Loyal Customer,Personal Travel,Eco,43,0,1,0,1,0,1437,3,4,3,4,2,3,2,2,4,2,4,4,5,2,0,0,0,dissatisfied
106181,Male,Loyal Customer,Personal Travel,Eco,55,0,1,0,1,0,302,1,2,4,3,4,4,4,4,1,3,2,4,3,4,0,0,0,dissatisfied
44304,Male,Loyal Customer,Business travel,Business,25,0,1,1,0,1,1428,4,4,4,4,4,4,4,4,1,5,3,1,5,4,0,0,1,satisfied
82602,Female,disloyal Customer,Business travel,Eco,30,1,0,1,1,0,528,4,3,5,3,2,5,2,2,3,2,3,4,4,2,0,0,0,dissatisfied
7823,Male,Loyal Customer,Personal Travel,Eco,62,0,1,0,1,0,710,3,5,3,4,2,3,2,2,3,5,5,4,4,2,0,0,0,dissatisfied
127781,Male,Loyal Customer,Business travel,Business,24,0,1,1,0,1,3680,4,1,4,4,2,2,2,2,5,5,5,5,4,2,0,0,1,satisfied
34501,Female,Loyal Customer,Business travel,Eco,22,1,1,1,1,0,1521,4,1,1,1,4,4,4,4,1,4,1,1,5,4,3,13,1,satisfied
121658,Male,Loyal Customer,Business travel,Business,44,0,1,1,0,1,1543,3,5,3,3,5,4,5,5,5,5,5,5,5,5,0,0,1,satisfied
20219,Male,Loyal Customer,Business travel,Eco,51,0,1,1,1,0,235,4,3,3,3,4,4,4,4,3,2,3,3,4,4,0,0,0,dissatisfied
67551,Male,Loyal Customer,Personal Travel,Business,43,0,1,0,0,1,1235,1,5,1,1,1,1,4,3,3,1,5,4,3,5,0,0,0,dissatisfied
48994,Female,Loyal Customer,Business travel,Eco,56,1,1,1,1,0,308,2,3,3,3,5,2,5,2,2,2,2,2,2,2,0,0,1,satisfied
70811,Male,disloyal Customer,Business travel,Eco,41,0,0,1,1,0,624,2,3,2,4,5,2,5,5,4,3,3,1,4,5,0,0,0,dissatisfied
75241,Male,Loyal Customer,Personal Travel,Eco,22,0,1,0,1,0,1846,4,5,4,4,5,4,5,5,5,4,4,4,4,5,40,68,0,dissatisfied
